SPEAKER,SENTENCE,DATAID,DOMAINID,DOMAIN,CATEGORY,SPEAKERID,SENTENCEID,MAIN,SUB,QA,QACNCT,MQ,SQ,UA,SA,개체명,용어사전,지식베이스
점원,한우는 6만원 수입산은 2만원 부터 있습니다,16334852,D,소매,정육점,0,4,용도별 고기 문의,,A,1,,,,한우는 6만 원 수입산은 2만 원 부터 있습니다,"한우, 6만 원, 수입산, 2만 원",,"한우/원산지, 6만 원/금액, 수입산/원산지, 2만 원/금액"
고객,호주산도 있나요?,16334852,D,소매,정육점,1,5,원산지 문의,,Q,,호주산도 있나요?,,,,호주산,,호주산/원산지
점원,네 1킬로에 3만원입니다,16334852,D,소매,정육점,0,6,원산지 문의,,A,,,,,네 1킬로에 3만 원입니다,"1킬로, 3만 원",,"1킬로/중량, 3만 원/금액"
고객,호주산으로 1킬로 주세요,16334852,D,소매,정육점,1,7,품종별 고기 요청,,Q,,호주산으로 1킬로 주세요,,,,"호주산, 1킬로",,"호주산/원산지, 1킬로/중량"
점원,여기 있습니다,16334852,D,소매,정육점,0,8,품종별 고기 요청,,A,,,,,여기 있습니다,,,
고객,쿠폰이랑 같이 계산해 주세요,16334852,D,소매,정육점,1,9,쿠폰 결제 요청,,Q,,쿠폰이랑 같이 계산해 주세요,,,,"쿠폰, 계산",,
점원,알겠습니다,16334852,D,소매,정육점,0,10,쿠폰 결제 요청,,A,,,,,알겠습니다,,,
고객,소고기 안심 있나요?,16321036,D,소매,정육점,1,1,부위별 고기 주문,,Q,,소고기 안심 있나요?,,,,"소고기, 안심",,"소고기/상품, 안심/부위"
점원,네.,16321036,D,소매,정육점,0,2,부위별 고기 주문,,A,,,,,네.,,,
고객,한우 맞나요?,16321036,D,소매,정육점,1,3,국산 고기 요청,,Q,,한우 맞나요?,,,,한우,,한우/원산지
점원,청정 한우입니다.,16321036,D,소매,정육점,0,4,국산 고기 요청,,A,,,,,청정 한우입니다.,청정 한우,,한우/원산지
고객,안심2인분이랑 국거리 조금 주세요.,16321036,D,소매,정육점,1,5,용도+고기 부위 주문,,Q,,안심 2인분이랑 국거리 조금 주세요.,,,,"안심, 2인분, 국거리, 조금",,"안심/부위, 2인분/수량, 국거리/용도"
점원,우둔살인데 괜찮으세요?,16321036,D,소매,정육점,0,6,용도+고기 부위 주문,장조림용 고기 확인,Q,,,우둔살인데 괜찮으세요?,,,우둔살,,우둔살/부위
고객,네. 좋습니다.,16321036,D,소매,정육점,1,7,용도+고기 부위 주문,장조림용 고기 확인,A,,,,네. 좋습니다.,,,,
점원,현금결제하시면 10%할인 되는데 어떻게 하실래요?,16321036,D,소매,정육점,0,8,결제 방법,현금 결제 할인,Q,,,현금 결제하시면 10% 할인 되는데 어떻게 하실래요?,,,"현금 결제, 10%, 할인",,"현금/결제방식, 10%/할인율"
고객,현금으로 할게요.,16321036,D,소매,정육점,1,9,쿠폰 결제 요청,,Q,,현금으로 할게요.,,,,현금,,현금/결제방식
점원,네. 할인해 드리겠습니다.,16321036,D,소매,정육점,0,10,쿠폰 결제 요청,,A,,,,,네. 할인해 드리겠습니다.,할인,,
고객,겨울엔 사골국이 최고인거 같아요 ,16333839,D,소매,정육점,1,1,용도별 고기 주문,,Q,,겨울엔 사골국이 최고인거 같아요 ,,,,"겨울, 사골국,",,"겨울/계절, 사골국/메뉴"
점원,사골 드릴까요?,16333839,D,소매,정육점,0,2,용도별 고기 주문,고기 용도 확인,Q,,,사골 드릴까요?,,,사골,,사골/부위
고객,네 잡뼈도 있나요?,16333839,D,소매,정육점,1,3,부위별 고기 주문,,Q,,네 잡뼈도 있나요?,,,,잡뼈,,잡뼈/부위
점원,네 같이넣고 끓이면 좋아요 ,16333839,D,소매,정육점,0,4,부위별 고기 주문,,A,,,,,네 같이 넣고 끓이면 좋아요 ,,,
고객,스지도 있나요? ,16333839,D,소매,정육점,1,5,특수부위 문의주문,,Q,,스지도 있나요? ,,,,스지,,스지/부위
점원,네 스지도 있습니다 ,16333839,D,소매,정육점,0,6,특수부위 문의주문,,A,,,,,네 스지도 있습니다 ,스지,,스지/부위
고객,대략 한번 끓일때 몇시간 끓이나요 ,16333839,D,소매,정육점,1,7,조리법 문의,,Q,,대략 한번 끓일 때 몇 시간 끓이나요 ,,,,"한번, 시간",,한 번/횟수
점원,끓기 시작하면 6시간정도 끓이면 되요 ,16333839,D,소매,정육점,0,8,조리법 문의,,A,,,,,끓기 시작하면 6시간 정도 끓이면 되요 ,6시간,,6시간/시간
고객,얼마인가요?,16333839,D,소매,정육점,1,9,가격 문의,,Q,,얼마인가요?,,,,,,
점원,5만원 입니다 ,16333839,D,소매,정육점,0,10,가격 문의,,A,,,,,5만 원입니다 ,5만 원,,5만 원/금액
고객,앞다리살 한 근 얼마인가요?,16334869,D,소매,정육점,1,1,가격 문의,,Q,,앞다리살 한 근 얼마인가요?,,,,"앞다리살, 한 근, 얼마",,"앞다리살/부위, 한 근/중량"
점원,한 근에 10000원입니다,16334869,D,소매,정육점,0,2,가격 문의,,A,,,,,한 근에 10000원입니다,"한 근, 10000원",,"한 근/중량, 10000원/금액"
고객,그럼 반 근만 썰어 주세요,16334869,D,소매,정육점,1,3,고기 썰기 주문,,Q,,그럼 반 근만 썰어 주세요,,,,반 근,,반 근/중량
점원,네 잠시만 기다려 주십시오,16334869,D,소매,정육점,0,4,고기 썰기 주문,,A,,,,,네 잠시만 기다려 주십시오,,,
고객,한우 국거리는 어디 있나요?,16334869,D,소매,정육점,1,5,용도별 고기 주문,,Q,,한우 국거리는 어디 있나요?,,,,한우 국거리,,"한우/원산지, 국거리/용도"
점원,여기 이쪽에 양지머리 있습니다,16334869,D,소매,정육점,0,6,용도별 고기 주문,,A,,,,,여기 이쪽에 양지머리 있습니다,양지머리,,양지머리/부위
고객,이건 한 근에 얼마죠?,16334869,D,소매,정육점,1,7,가격 문의,,Q,,이건 한 근에 얼마죠?,,,,"한 근, 얼마",,한 근/중량
점원,한 근에 20000원입니다,16334869,D,소매,정육점,0,8,가격 문의,,A,,,,,한 근에 20000원입니다,"한 근, 20000원",,"한 근/중량, 20000원/금액"
고객,그럼 이것도 한 근만 주시겠어요?,16334869,D,소매,정육점,1,9,용량별 고기 주문,,Q,,그럼 이것도 한 근만 주시겠어요?,,,,한 근,,한 근/중량
점원,네 잠시만 기다려 주십시오,16334869,D,소매,정육점,0,10,용량별 고기 주문,,A,,,,,네 잠시만 기다려 주십시오,,,
고객,찌개용 돼지고기 있나요?,16335400,D,소매,정육점,1,1,용도별 고기 주문,,Q,,찌개용 돼지고기 있나요?,,,,"찌개, 돼지고기",,"찌개/용도, 돼지고기/상품"
점원,네,16335400,D,소매,정육점,0,2,용도별 고기 주문,,A,,,,,네,,,
고객,찌개용은 어떤 부위인가요?,16335400,D,소매,정육점,1,3,용도별 고기 문의,,Q,,찌개용은 어떤 부위인가요?,,,,"찌개, 부위",,찌개/용도
점원,목살입니다,16335400,D,소매,정육점,0,4,용도별 고기 문의,,A,,,,,목살입니다,목살,,목살/부위
고객,한 근에 얼마예요?,16335400,D,소매,정육점,1,5,가격 문의,,Q,,한 근에 얼마예요?,,,,"한 근, 얼마",,한 근/중량
점원,만 원입니다,16335400,D,소매,정육점,0,6,가격 문의,,A,,,,,만 원입니다,만 원,,만 원/금액
고객,썰어주시나요?,16335400,D,소매,정육점,1,7,고기 썰기 주문,,Q,,썰어주시나요?,,,,,,
점원,네,16335400,D,소매,정육점,0,8,고기 썰기 주문,,A,,,,,네,,,
고객,냉장고기인가요?,16335400,D,소매,정육점,1,9,보관상태 문의,,Q,,냉장고기인가요?,,,,냉장고기,,냉장고기/보관상태
점원,냉동입니다,16335400,D,소매,정육점,0,10,보관상태 문의,,A,,,,,냉동입니다,냉동,,냉동/보관상태
고객,한 근만 살 수 있나요?,16320821,D,소매,정육점,1,1,용량별 고기 주문,,Q,,한 근만 살 수 있나요?,,,,한 근,,한 근/중량
점원,네 당연히 가능합니다. ,16320821,D,소매,정육점,0,2,용량별 고기 주문,,A,,,,,네 당연히 가능합니다. ,"국거리, 한우",,"국거리/용도, 한우/상품"
고객,국거리용 한우 있나요?,16320821,D,소매,정육점,1,3,용도별 고기 주문,,Q,,국거리용 한우 있나요?,,,,,,
점원,네 있습니다. ,16320821,D,소매,정육점,0,4,용도별 고기 주문,,A,,,,,네 있습니다. ,,,
고객,도매로도 살 수 있나요?,16320821,D,소매,정육점,1,5,도매 주문 문의,,Q,,도매로도 살 수 있나요?,,,,도매,,도매/유통구분
점원,아뇨 저희는 소매만 가능합니다. ,16320821,D,소매,정육점,0,6,도매 주문 문의,,A,,,,,아뇨 저희는 소매만 가능합니다. ,소매,,소매/유통구분
고객,어떤 부위가 가장 맛있나요?,16320821,D,소매,정육점,1,7,인기부위 문의주문,,Q,,어떤 부위가 가장 맛있나요?,,,,부위,,
점원,아무래도 한우 안심이 가장 맛있습니다. ,16320821,D,소매,정육점,0,8,인기부위 문의주문,,A,,,,,아무래도 한우 안심이 가장 맛있습니다. ,한우 안심,,"한우/원산지, 안심/부위"
고객,호주산인가요?,16320821,D,소매,정육점,1,9,원산지 문의,,Q,,호주산인가요?,,,,호주산,,호주산/원산지
점원,아뇨 국내산입니다. ,16320821,D,소매,정육점,0,10,원산지 문의,,A,,,,,아뇨 국내산입니다. ,국내산,,국내산/원산지
고객,대패삼겹살을 판매하나요?,16321086,D,소매,정육점,1,1,부위별 고기 주문,,Q,,대패삼겹살을 판매하나요?,,,,"대패삼겹살, 판매",,대패삼겹살/부위
점원,"네, 국내산으로 드릴까요?",16321086,D,소매,정육점,0,2,원산지 문의,원산지 확인,Q,,,"네, 국내산으로 드릴까요?",,,국내산,,국내산/원산지
고객,국내산으로 주세요.,16321086,D,소매,정육점,1,3,원산지 문의,,Q,,국내산으로 주세요.,,,,국내산,,국내산/원산지
점원,몇 인분 필요하세요.,16321086,D,소매,정육점,0,4,용량별 고기 문의,고기 용량 확인,Q,,,몇 인분 필요하세요.,,,인분,,
고객,총 4명의 가족이 먹을 건데요.,16321086,D,소매,정육점,1,5,용량별 고기 문의,고기 용량 확인,A,,,,총 4명의 가족이 먹을 건데요.,,"4명, 가족",,4명/인원
점원,넉넉하게 2kg정도 하면 될 거 같습니다.,16321086,D,소매,정육점,0,6,용량별 고기 문의,,A,,,,,넉넉하게 2kg 정도 하면 될 거 같습니다.,2kg,,2kg/중량
고객,따로 파지도 팔고 있나요?,16321086,D,소매,정육점,1,7,특수부위 문의주문,,Q,,따로 파지도 팔고 있나요?,,,,파지,,파지/부위
점원,"네, 같이 드릴까요?",16321086,D,소매,정육점,0,8,특수부위 문의주문,고객 의사 확인,Q,,,"네, 같이 드릴까요?",,,,,
고객,"네, 결제해 주세요.",16321086,D,소매,정육점,1,9,결제 요청,,Q,,"네, 결제해 주세요.",,,,결제,,
점원,결제도와드리겠습니다.,16321086,D,소매,정육점,0,10,결제 요청,,A,,,,,결제 도와드리겠습니다.,결제,,
고객,장조림 하려고 하는데 어떤 고기가 좋을까요?,16332611,D,소매,정육점,1,1,용도별 고기 문의,,Q,,장조림 하려고 하는데 어떤 고기가 좋을까요?,,,,"장조림, 고기",,"장조림/용도, 고기/상품"
점원,홍두깨살로 하시면 맛있어요,16332611,D,소매,정육점,0,2,용도별 고기 문의,,A,,,,,홍두깨살로 하시면 맛있어요,홍두깨살,,홍두깨살/부위
고객,홍두깨살 가격이 어떻게 되나요?,16332611,D,소매,정육점,1,3,가격 문의,,Q,,홍두깨살 가격이 어떻게 되나요?,,,,"홍두깨살, 가격",,홍두깨살/부위
점원,한근에 만원입니다,16332611,D,소매,정육점,0,4,가격 문의,,A,,,,,한 근에 만원입니다,"한 근, 만원",,"한 근/중량, 만원/금액"
고객,어떻게 잘라가는게 좋을까요?,16332611,D,소매,정육점,1,5,고기 썰기 주문,,Q,,어떻게 잘라가는 게 좋을까요?,,,,,,
점원,네 덩어리로 잘라드릴게요,16332611,D,소매,정육점,0,6,고기 썰기 주문,,A,,,,,네 덩어리로 잘라드릴게요,덩어리,,덩어리/모양
고객,삼성페이 결제되나요?,16332611,D,소매,정육점,1,7,카카오페이삼성페이 문의,,Q,,삼성페이 결제되나요?,,,,"삼성페이, 결제",,삼성페이/결제방식
점원,그럼요,16332611,D,소매,정육점,0,8,카카오페이삼성페이 문의,,A,,,,,그럼요,,,
고객,영수증은 버려주세요,16332611,D,소매,정육점,1,9,영수증 처리 요청,,Q,,영수증은 버려주세요,,,,영수증,,
점원,네,16332611,D,소매,정육점,0,10,영수증 처리 요청,,A,,,,,네,,,
고객,소고기를 사려고 하는데 소고기부위 중 어느것이 맛이있나요?,16335431,D,소매,정육점,1,1,인기부위 문의주문,,Q,,소고기를 사려고 하는데 소고기 부위 중 어느 것이 맛이 있나요?,,,,"소고기, 소고기 부위",,소고기/상품
점원,소고기 안심이 맛있어요,16335431,D,소매,정육점,0,2,인기부위 문의주문,,A,,,,,소고기 안심이 맛있어요,소고기 안심,,"소고기/상품, 안심/부위"
고객,그럼 이렇게 3개 사면 얼마인가요?,16335431,D,소매,정육점,1,3,가격 문의,,Q,,그럼 이렇게 3개 사면 얼마인가요?,,,,"3개, 얼마",,3개/가짓수
점원,3만원입니다,16335431,D,소매,정육점,0,4,가격 문의,,A,,,,,3만 원입니다,3만 원,,3만 원/금액
고객,이렇게 5개 살게요,16335431,D,소매,정육점,1,5,부위별 고기 주문,,Q,,이렇게 5개 살게요,,,,5개,,5개/가짓수
점원,네 5만원 입니다,16335431,D,소매,정육점,0,6,부위별 고기 주문,,A,,,,,네 5만 원입니다,5만 원,,5만 원/금액
고객,추가적으로 돼지고기도 파나요?,16335431,D,소매,정육점,1,7,부위별 고기 주문,,Q,,추가적으로 돼지고기도 파나요?,,,,"추가, 돼지고기",,돼지고기/상품
점원,아니요 돼지고기는 팔지 않습니다,16335431,D,소매,정육점,0,8,부위별 고기 주문,,A,,,,,아니요 돼지고기는 팔지 않습니다,돼지고기,,돼지고기/상품
고객,네 그럼 5개 결제 카드로 되죠?,16335431,D,소매,정육점,1,9,결제 방법,,Q,,네 그럼 5개 결제 카드로 되죠?,,,,"5개, 결제, 카드",,"5개/가짓수, 카드/결제방식"
점원,네 됩니다,16335431,D,소매,정육점,0,10,결제 방법,,A,,,,,네 됩니다,,,
고객,고기 좋은 거 있나요?,16333129,D,소매,정육점,1,1,신선도 문의,,Q,,고기 좋은 거 있나요?,,,,고기,,고기/상품
점원,어디에 쓰시려고요?,16333129,D,소매,정육점,0,2,신선도 문의,고기 용도 문의,Q,,,어디에 쓰시려고요?,,,,,
고객,구워서 먹으려고 합니다,16333129,D,소매,정육점,1,3,신선도 문의,고기 용도 문의,A,,,,구워서 먹으려고 합니다,,,,
점원,소고기이신가요?,16333129,D,소매,정육점,0,4,부위별 고기 주문,주문 확인,Q,,,소고기이신가요?,,,소고기,,소고기/상품
고객,소고기 스테이크 용으로 먹으려고 해요,16333129,D,소매,정육점,1,5,부위별 고기 주문,주문 확인,A,,,,소고기 스테이크용으로 먹으려고 해요,,소고기 스테이크용,,"소고기/상품, 스테이크용/용도"
점원,아 그럼 채끝살이 좋아요,16333129,D,소매,정육점,0,6,부위별 고기 주문,고기 부위 추천,Q,,,아 그럼 채끝살이 좋아요,,,채끝살,,채끝살/부위
고객,등급이 어떻게 되요?,16333129,D,소매,정육점,1,7,등급 문의,,Q,,등급이 어떻게 되요?,,,,등급,,
점원,1등급 플러스에요,16333129,D,소매,정육점,0,8,등급 문의,,A,,,,,1등급 플러스에요,1등급 플러스,,1등급 플러스/등급
고객,아 그럼 이걸로 한 근만 주세요,16333129,D,소매,정육점,1,9,용량별 고기 주문,,Q,,아 그럼 이걸로 한 근만 주세요,,,,한 근,,한 근/중량
점원,네 싸드리겠습니다,16333129,D,소매,정육점,0,10,용량별 고기 주문,,A,,,,,네 싸드리겠습니다,,,
고객,요즘 고기값이 금값이네요?,16333904,D,소매,정육점,1,1,가격 문의,,Q,,요즘 고기값이 금값이네요?,,,,"요즘, 고기값, 금값",,"요즘, 고기값, 금값"
점원,지금 세일하고 있습니다,16333904,D,소매,정육점,0,2,가격 문의,,A,,,,,지금 세일하고 있습니다,"지금, 세일",,
고객,찌개용 고기는 어딨죠,16333904,D,소매,정육점,1,3,용도별 고기 주문,,Q,,찌개용 고기는 어딨죠,,,,찌개용 고기,,"찌개용/용도, 고기/상품"
점원,몇 그램 드릴까요?,16333904,D,소매,정육점,0,4,용량별 고기 주문,고기 용량 확인,Q,,,몇 그램 드릴까요?,,,그램,,
고객,200그램만 주세요,16333904,D,소매,정육점,1,5,용량별 고기 주문,고기 용량 확인,A,,,,200그램만 주세요,,200그램,,200그램/중량
점원,다른건 안 찾으세요?,16333904,D,소매,정육점,0,6,용량별 고기 주문,추가 주문 문의,Q,,,다른 건 안 찾으세요?,,,,,
고객,목살 구이용이 얼마죠,16333904,D,소매,정육점,1,7,가격 문의,,Q,,목살 구이용이 얼마죠,,,,"목살, 구이, 얼마",,"목살/부위, 구이용/용도"
점원,250그램에 6000원입니다,16333904,D,소매,정육점,0,8,가격 문의,,A,,,,,250그램에 6000원입니다,"250그램, 6000원",,"250그램/중량, 6000원/금액"
고객,그것도 주세요,16333904,D,소매,정육점,1,9,결제 요청,,Q,,그것도 주세요,,,,,,
점원,감사합니다,16333904,D,소매,정육점,0,10,결제 요청,,A,,,,,감사합니다,,,
고객,오늘 특수부위 있나요?,16333905,D,소매,정육점,1,1,특수부위 문의주문,,Q,,오늘 특수부위 있나요?,,,,특수부위,,특수부위/부위
점원,어느 부분 찾으세요?,16333905,D,소매,정육점,0,2,특수부위 문의주문,특수부위 문의,Q,,,어느 부분 찾으세요?,,,부분,,
고객,제비추리요,16333905,D,소매,정육점,1,3,특수부위 문의주문,특수부위 문의,A,,,,제비추리요,,제비추리,,제비추리/부위
점원,그건 지금 없고 토시살은 가능합니다,16333905,D,소매,정육점,0,4,특수부위 문의주문,,A,1,,,,그건 지금 없고 토시살은 가능합니다,"지금, 토시살",,"지금/시간, 토시살/부위"
고객,그러면 토시살로 주세요,16333905,D,소매,정육점,1,5,부위별 고기 주문,,Q,,그러면 토시살로 주세요,,,,토시살,,토시살/부위
점원,얼마나 필요하세요?,16333905,D,소매,정육점,0,6,부위별 고기 주문,고기 용량 문의,Q,,,얼마나 필요하세요?,,,얼마나,,
고객,한근 반이요,16333905,D,소매,정육점,1,7,부위별 고기 주문,고기 용량 문의,A,,,,한 근 반이요,,한 근 반,,한 근 반/중량
점원,생으로 드실건가요 아니면 양념해서 드실건가요?,16333905,D,소매,정육점,0,8,부위별 고기 주문,고기 용도 확인,Q,,,생으로 드실 건가요 아니면 양념해서 드실 건가요?,,,"생, 양념",,
고객,생으로 구워서 소금 찍어 먹으려구요,16333905,D,소매,정육점,1,9,부위별 고기 주문,고기 용도 확인,A,,,,생으로 구워서 소금 찍어 먹으려구요,,"생, 소금",,
점원,이 양념 서비스로 드릴테니까 드셔보세요 ,16333905,D,소매,정육점,0,10,포장시 추가 품목,양념 서비스,Q,,,이 양념 서비스로 드릴 테니까 드셔보세요 ,,,"양념, 서비스",,
고객,삼겹살 한 근에 얼마죠?,16335715,D,소매,정육점,1,1,가격 문의,,Q,,삼겹살 한 근에 얼마죠?,,,,"삼겹살, 한 근, 얼마",,"삼겹살/부위, 한 근/중량"
점원,네 13000원입니다,16335715,D,소매,정육점,0,2,가격 문의,,A,,,,,네 13000원입니다,13000원,,13000원/금액
고객,국산이에요?,16335715,D,소매,정육점,1,3,원산지 문의,,Q,,국산이에요?,,,,국산,,국산/원산지
점원,네 국산입니다,16335715,D,소매,정육점,0,4,원산지 문의,,A,,,,,네 국산입니다,국산,,국산/원산지
고객,호주산도 있나요?,16335715,D,소매,정육점,1,5,원산지 문의,,Q,,호주산도 있나요?,,,,호주산,,호주산/원산지
점원,호주산은 두 근에 10000원이에요,16335715,D,소매,정육점,0,6,원산지 문의,,A,,,,,호주산은 두 근에 10000원이에요,"호주산, 두 근, 10000원",,"호주산/원산지, 두 근/중량, 10000원/금액"
고객,훨씬 싸네요,16335715,D,소매,정육점,1,7,null,null,A,,,,훨씬 싸네요,,,,
점원,국산이 아무래도 더 질 좋고 맛있으니까요,16335715,D,소매,정육점,0,8,,,A,,,,,국산이 아무래도 더 질 좋고 맛있으니까요,"국산, 질",,국산/원산지
고객,호주산으로 두 근 주세요,16335715,D,소매,정육점,1,9,용량별 고기 주문,,Q,,호주산으로 두 근 주세요,,,,"호주산, 두 근",,"호주산/원산지, 두 근/중량"
점원,네 감사합니다,16335715,D,소매,정육점,0,10,용량별 고기 주문,,A,,,,,네 감사합니다,,,
고객,찌개거리 할 만한 고기 있을까요?,16339302,D,소매,정육점,1,1,용도별 고기 문의,,Q,,찌개거리 할 만한 고기 있을까요?,,,,"찌개거리, 고기",,"찌개거리/용도, 고기/상품"
점원,돼지 앞다리는 어떠세요?,16339302,D,소매,정육점,0,2,용도별 고기 문의,고기 부위 추천,Q,,,돼지 앞다리는 어떠세요?,,,돼지 앞다리,,돼지 앞다리/부위
고객,네 성인 2명이서 먹으려면 양은 어느 정도 사야 할까요?,16339302,D,소매,정육점,1,3,0인분 용량 문의,,Q,,네 성인 2명이서 먹으려면 양은 어느 정도 사야 할까요?,,,,"성인, 2명, 양",,성인 2명/인원
점원,300그램 정도면 괜찮으실거에요,16339302,D,소매,정육점,0,4,0인분 용량 문의,,A,,,,,300그램 정도면 괜찮으실 거에요,300그램,,300그램/중량
고객,그럼 앞다리 300 그램이랑 삼겹살 반근 주세요,16339302,D,소매,정육점,1,5,부위별 고기 주문,,Q,,그럼 앞다리 300 그램이랑 삼겹살 반 근 주세요,,,,"앞다리, 300그램, 삼겹살, 반근",,"앞다리/부위, 300그램/중량, 삼겹살/부위, 반근/중량"
점원,삼겹살은 잘라 드릴까요?,16339302,D,소매,정육점,0,6,부위별 고기 주문,고기 썰기 확인,Q,,,삼겹살은 잘라 드릴까요?,,,삼겹살,,삼겹살/부위
고객,수육 할거라서 통으로 주세요,16339302,D,소매,정육점,1,7,부위별 고기 주문,고기 썰기 확인,A,,,,수육 할 거라서 통으로 주세요,,"수육, 통",,"수육/용도, 통/모양"
점원,월계수잎 필요하시면 서비스로 제공해 드릴게요,16339302,D,소매,정육점,0,8,포장시 추가 품목,양념 서비스,Q,,,월계수 잎 필요하시면 서비스로 제공해 드릴게요,,,"월계수 잎, 서비스, 제공",,월계수 잎/서비스
고객,월계수잎 주세요,16339302,D,소매,정육점,1,9,포장시 추가 품목,양념 서비스,A,,,,월계수 잎 주세요,,월계수 잎,,월계수 잎/서비스
점원,삼겹살과 같이 넣어 드릴게요,16339302,D,소매,정육점,0,10,부위별 고기 주문,,A,,,,,삼겹살과 같이 넣어 드릴게요,삼겹살,,삼겹살/부위
고객,오겹살과 목살 각각 3인분 씩 부탁드립니다.,16320881,D,소매,정육점,1,1,부위별 고기 주문,,Q,,오겹살과 목살 각각 3인분씩 부탁드립니다.,,,,"오겹살, 목살, 각각, 3인분",,"오겹살/부위, 목살/부위, 3인분/수량"
점원,"네, 굵기는 어떻게 해드릴까요?",16320881,D,소매,정육점,0,2,부위별 고기 주문,고기 썰기 문의,Q,,,"네, 굵기는 어떻게 해드릴까요?",,,굵기,,
고객,얇게 해주세요.,16320881,D,소매,정육점,1,3,고기 썰기 주문,,Q,,얇게 해주세요.,,,,,,
점원,"네, 잠시만 기다려주세요.",16320881,D,소매,정육점,0,4,고기 썰기 주문,,A,,,,,"네, 잠시만 기다려주세요.",,,
고객,혹시 카드결제도 가능한가요?,16320881,D,소매,정육점,1,5,결제 방법,,Q,,혹시 카드 결제도 가능한가요?,,,,카드 결제,,카드/결제방식
점원,"네, 그럼요.",16320881,D,소매,정육점,0,6,결제 방법,,A,,,,,"네, 그럼요.",,,
