SPEAKER,SENTENCE,DATAID,DOMAINID,DOMAIN,CATEGORY,SPEAKERID,SENTENCEID,MAIN,SUB,QA,QACNCT,MQ,SQ,UA,SA,개체명,용어사전,지식베이스
점원,총 10만원 입니다.,16321557,E,생활서비스,미용실,0,4,염색 가격 문의,,A,,,,,총 10만 원입니다.,10만 원,,10만 원/금액
고객,커트도 같이 하려고 하는데 포함된 건가요?,16321557,E,생활서비스,미용실,1,5,동시 시술 문의,,Q,,커트도 같이 하려고 하는데 포함된 건가요?,,,,커트,,커트/시술
점원,"아니요, 커트비용은 따로 받고 있습니다.",16321557,E,생활서비스,미용실,0,6,동시 시술 문의,,A,,,,,"아니요, 커트 비용은 따로 받고 있습니다.","커트, 비용",,커트/시술
고객,"네, 같이 해주세요.",16321557,E,생활서비스,미용실,1,7,동시 시술 요청,,Q,,"네, 같이 해주세요.",,,,,,
점원,따로 더 필요한 건 없으신가요?,16321557,E,생활서비스,미용실,0,8,동시 시술 요청,공통,Q,,,따로 더 필요한 건 없으신가요?,,,,,
고객,"네, 커트와 염색이면 충분합니다.",16321557,E,생활서비스,미용실,1,9,동시 시술 요청,공통,A,,,,"네, 커트와 염색이면 충분합니다.",,"커트, 염색",,"커트/시술, 염색/시술"
점원,그럼 시작하겠습니다.,16321557,E,생활서비스,미용실,0,10,동시 시술 요청,,A,7,,,,그럼 시작하겠습니다.,,,
고객,지금 파마할 수 있나요?,16321568,E,생활서비스,미용실,1,1,펌 문의,,Q,,지금 파마할 수 있나요?,,,,파마,,파마/시술
점원,네.,16321568,E,생활서비스,미용실,0,2,펌 문의,,A,,,,,네.,,,
고객,파마랑 염색 같이하려고하는데 가능한가요?,16321568,E,생활서비스,미용실,1,3,동시 시술 문의,,Q,,파마랑 염색을 같이하려고 하는데 가능한가요?,,,,"파마, 염색",,"파마/시술, 염색/시술"
점원,손님 머리가 많이 상하셔서 같이하면 안될것 같네요.,16321568,E,생활서비스,미용실,0,4,동시 시술 문의,,A,,,,,손님 머리가 많이 상하셔서 같이하면 안될 것 같네요.,"손님, 머리",,"손님/대상, 머리/부위"
고객,그러면 뭐 하는게 그나마 괜찮을까요?,16321568,E,생활서비스,미용실,1,5,시술 시 손상 정도 문의,,Q,,그러면 뭐 하는 게 그나마 괜찮을까요?,,,,,,
점원,파마보다는 염색을 하시는게 나을것 같아요.,16321568,E,생활서비스,미용실,0,6,시술 시 손상 정도 문의,,A,,,,,파마보다는 염색을 하시는 게 나을 것 같아요.,"파마, 염색",,"파마/시술, 염색/시술"
고객,그러면 염색으로  할게요.,16321568,E,생활서비스,미용실,1,7,염색 요청,,Q,,그러면 염색으로  할게요.,,,,염색,,염색/시술
점원,어떤색 하실거에요?,16321568,E,생활서비스,미용실,0,8,염색 요청,색상 문의,Q,,,어떤 색 하실 거예요?,,,어떤 색,,
고객,밝은 갈색으로 해주세요.,16321568,E,생활서비스,미용실,1,9,염색 요청,색상 문의,A,,,,밝은 갈색으로 해주세요.,,밝은 갈색,,밝은 갈색/색상
점원,네,16321568,E,생활서비스,미용실,0,10,염색 요청,,A,7,,,,네,,,
고객,언니 지금 머리 바로 가능해요?,16336163,E,생활서비스,미용실,1,1,대기시간 문의,,Q,,언니 지금 머리 바로 가능해요?,,,,"언니, 머리",,"언니/대상, 머리/부위"
점원,찾으시는 선생님 있으세요?,16336163,E,생활서비스,미용실,0,2,선생님 요청,선생님 요청 문의,Q,,,찾으시는 선생님 있으세요?,,,선생님,,선생님/미용사
고객,따로 없는데 지금 비는 선생님 계시면 할게요,16336163,E,생활서비스,미용실,1,3,선생님 요청,선생님 요청 문의,A,,,,따로 없는데 지금 비는 선생님 계시면 할게요,,선생님,,선생님/미용사
점원,그럼 10분만 기다려주세요,16336163,E,생활서비스,미용실,0,4,대기시간 문의,,A,1,,,,그럼 10분만 기다려주세요,10분,,10분/시간
고객,이 머리 하려면 파마로도 가능한가요?,16336163,E,생활서비스,미용실,1,5,사진 제시하면서 동일한 펌 가능한 지 문의,,Q,,이 머리하려면 파마로도 가능한가요?,,,,"머리, 파마",,"머리/부위, 파마/시술"
점원,그건 선생님이랑 상담하시면 알려주실거에요,16336163,E,생활서비스,미용실,0,6,사진 제시하면서 동일한 펌 가능한 지 문의,,A,,,,,그건 선생님이랑 상담하시면 알려주실 거예요,"선생님, 상담",,선생님/미용사
고객,기다리는 동안 잡지 좀 주실 수  있나요?,16336163,E,생활서비스,미용실,1,7,책 잡지 신문 서비스 가능 문의,,Q,,기다리는 동안 잡지 좀 주실 수  있나요?,,,,잡지,,
점원,어떤 종류로 드릴까요?,16336163,E,생활서비스,미용실,0,8,책 잡지 신문 서비스 가능 문의,종류,Q,,,어떤 종류로 드릴까요?,,,종류,,
고객,우먼 잡지로 몇권 주세요,16336163,E,생활서비스,미용실,1,9,책 잡지 신문 서비스 가능 문의,,Q,,우먼 잡지로 몇 권 주세요,,,,"우먼 잡지, 몇 권",,
점원,네 가져다 드릴게요,16336163,E,생활서비스,미용실,0,10,책 잡지 신문 서비스 가능 문의,,A,,,,,네 가져다드릴게요,,,
고객,머리 좀 하려고 해요,16335700,E,생활서비스,미용실,1,1,헤어스타일 문의,,Q,,머리 좀 하려고 해요,,,,머리,,머리/부위
점원,머리가 많이 길으셨네요,16335700,E,생활서비스,미용실,0,2,헤어스타일 문의,,A,,,,,머리가 많이 길으셨네요,머리,,머리/부위
고객,요번에는 좀 짧게 자르고 싶어요,16335700,E,생활서비스,미용실,1,3,커트 요청,,Q,,요번에는 좀 짧게 자르고 싶어요,,,,,,
점원,스타일은요,16335700,E,생활서비스,미용실,0,4,커트 요청,스타일,Q,,,스타일은요,,,스타일,,
고객,아네 제가 켑쳐해 온 사진이 있어요 ,16335700,E,생활서비스,미용실,1,5,커트 요청,스타일,A,,,,아네 제가 캡처해 온 사진이 있어요,,"캡처, 사진",,
점원,네 좀 보겠습니다,16335700,E,생활서비스,미용실,0,6,참고 사진 제시하며 스타일 요청,스타일 확인,Q,,,네 좀 보겠습니다,,,,,
고객,네 이 사진인데요 ,16335700,E,생활서비스,미용실,1,7,참고 사진 제시하며 스타일 요청,스타일 확인,A,,,,네 이 사진인데요 ,,사진,,
점원,잘 어울릴 것 같아요,16335700,E,생활서비스,미용실,0,8,참고 사진 제시하며 스타일 요청,,A,5,,,,잘 어울릴 것 같아요,,,
고객,이게 보브스타일이죠,16335700,E,생활서비스,미용실,1,9,헤어스타일 문의,,Q,,이게 보브 스타일이죠,,,,보브 스타일,,보브 스타일/스타일
점원, 보통 한국사람 두상에 젤 잘 어울려요,16335700,E,생활서비스,미용실,0,10,헤어스타일 문의,,A,,,,,보통 한국 사람 두상에 제일 잘 어울려요,"보통, 한국 사람 두상",,
고객,머리하려고 왔는데요,16333404,E,생활서비스,미용실,1,1,헤어스타일 문의,,Q,,머리하려고 왔는데요,,,,머리,,머리/부위
점원,네 손님 혹시 예약하고 오셨나요?,16333404,E,생활서비스,미용실,0,2,예약 문의,예약 유무 확인,Q,,,네 손님 혹시 예약하고 오셨나요?,,,"손님, 예약",,손님/대상
고객,아니요 예약은 안하고 왔습니다,16333404,E,생활서비스,미용실,1,3,예약 문의,예약 유무 확인,A,,,,아니요 예약은 안 하고 왔습니다,,예약,,
점원,지금 예약 손님들 먼저 해드리고 있어서 15분 정도 기다리셔야하는데 괜찮으신가요?,16333404,E,생활서비스,미용실,0,4,대기시간 문의,대기시간 안내,Q,,,지금 예약 손님들 먼저 해드리고 있어서 15분 정도 기다리셔야 하는데 괜찮으신가요?,,,"예약 손님들, 15분",,"예약 손님들/대상, 15분/시간"
고객,네 괜찮습니다,16333404,E,생활서비스,미용실,1,5,대기시간 문의,대기시간 안내,A,,,,네 괜찮습니다,,,,
점원,네 머리는 어떻게 해드릴까요?,16333404,E,생활서비스,미용실,0,6,헤어스타일 문의,시술 종류,Q,,,네 머리는 어떻게 해드릴까요?,,,머리,,머리/부위
고객,투블럭으로 해주시면서 옆머리는 3mm로 해주세요,16333404,E,생활서비스,미용실,1,7,커트 요청,커트 길이,A,,,,투블럭으로 해주시면서 옆머리는 3mm로 해주세요,,"투블럭, 옆머리, 3mm",,"투블럭/스타일, 옆머리/부위, 3mm/길이"
점원,네 결제는 미용 후에 결제하시면 되겠습니다,16333404,E,생활서비스,미용실,0,8,헤어스타일 문의,,A,1,,,,네 결제는 미용 후에 결제하시면 되겠습니다,"결제, 미용 후",,
고객,얼마인가요?,16333404,E,생활서비스,미용실,1,9,커트 가격 문의,,Q,,얼마인가요?,,,,얼마,,
점원,12000원입니다,16333404,E,생활서비스,미용실,0,10,커트 가격 문의,,A,,,,,12000원입니다,12000원,,12000원/금액
고객,지금 파마 가능한가요?,16321117,E,생활서비스,미용실,1,1,펌 문의,,Q,,지금 파마 가능한가요?,,,,파마,,파마/시술
점원,"아뇨, 조금 기다리셔야 합니다.",16321117,E,생활서비스,미용실,0,2,펌 문의,,A,,,,,"아뇨, 조금 기다리셔야 합니다.",,,
고객,파마 가격은 얼마인가요?,16321117,E,생활서비스,미용실,1,3,펌 가격 문의,,Q,,파마 가격은 얼마인가요?,,,,"파마, 가격",,파마/시술
점원,기장에 따라 가격이 달라집니다.,16321117,E,생활서비스,미용실,0,4,펌 가격 문의,,A,,,,,기장에 따라 가격이 달라집니다.,"기장, 가격",기장/길이,
고객,염색까지 가능할까요?,16321117,E,생활서비스,미용실,1,5,염색 문의,,Q,,염색까지 가능할까요?,,,,염색,,염색/시술
점원,되도록 따로 하시는 게 좋습니다.,16321117,E,생활서비스,미용실,0,6,염색 문의,,A,,,,,되도록 따로 하시는 게 좋습니다.,,,
고객,파마는 몇 시간 정도 걸리나요?,16321117,E,생활서비스,미용실,1,7,소요시간 문의,,Q,,파마는 몇 시간 정도 걸리나요?,,,,파마,,파마/시술
점원,3시간 정도 걸립니다.,16321117,E,생활서비스,미용실,0,8,소요시간 문의,,A,,,,,3시간 정도 걸립니다.,3시간,,3시간/시간
고객,파마는 오늘 하고 염색은 다음주에 예약할게요.,16321117,E,생활서비스,미용실,1,9,예약 요청,,Q,,파마는 오늘 하고 염색은 다음 주에 예약할게요.,,,,"파마, 오늘, 염색, 다음 주, 예약",,"파마/시술, 오늘/날짜, 염색/시술, 다음 주/날짜"
점원,네. 예약 먼저 도와드리겠습니다.,16321117,E,생활서비스,미용실,0,10,예약 요청,,A,,,,,네. 예약 먼저 도와드리겠습니다.,예약,,
고객,남성 커트 얼마인가요?,16335710,E,생활서비스,미용실,1,1,커트 가격 문의,,Q,,남성 커트 얼마인가요?,,,,"남성, 커트",,"남성/성별, 커트/시술"
점원,15000원 입니다,16335710,E,생활서비스,미용실,0,2,커트 가격 문의,,A,,,,,15000원입니다,15000원,,15000원/금액
고객,염색은 얼마인가요?,16335710,E,생활서비스,미용실,1,3,염색 가격 문의,,Q,,염색은 얼마인가요?,,,,염색,,염색/시술
점원,5만원입니다,16335710,E,생활서비스,미용실,0,4,염색 가격 문의,,A,,,,,5만 원입니다,5만 원,,5만 원/금액
고객,커트하고 염색하려구요,16335710,E,생활서비스,미용실,1,5,동시 시술 요청,,Q,,커트하고 염색하려고요,,,,"커트, 염색",,"커트/시술, 염색/시술"
점원,그러면 이 자리에 앉으세요,16335710,E,생활서비스,미용실,0,6,동시 시술 요청,,A,,,,,그러면 이 자리에 앉으세요,이 자리,,
고객,커트와 염색을 완료하려면 시간은 어느정도 걸리죠?,16335710,E,생활서비스,미용실,1,7,소요시간 문의,,Q,,커트와 염색을 완료하려면 시간은 어느 정도 걸리죠?,,,,"커트, 염색, 완료, 시간",,"커트/시술, 염색/시술"
점원,1시간30분 이요,16335710,E,생활서비스,미용실,0,8,소요시간 문의,,A,,,,,1시간 30분 이요,1시간 30분,,1시간 30분/시간
고객,커트는 이 사진처럼 해주시고 염색은 노란색으로 해주세요,16335710,E,생활서비스,미용실,1,9,동시 시술 요청,,Q,,커트는 이 사진처럼 해주시고 염색은 노란색으로 해주세요,,,,"커트, 이 사진, 염색, 노란색",,"커트/시술, 염색/시술, 노란색/색상"
점원,네 알겠습니다,16335710,E,생활서비스,미용실,0,10,동시 시술 요청,,A,,,,,네 알겠습니다,,,
고객,펌 하고싶은데요,16336486,E,생활서비스,미용실,1,1,펌 요청,,Q,,펌 하고싶은데요,,,,펌,,펌/시술
점원,네 원하시는 스타일 있으세요?,16336486,E,생활서비스,미용실,0,2,펌 요청,펌 종류,Q,,,네 원하시는 스타일 있으세요?,,,스타일,,
고객,네 이 사진처럼 가능 한가요?,16336486,E,생활서비스,미용실,1,3,참고 사진 제시하며 스타일 요청,,Q,,네 이 사진처럼 가능한가요?,,,,이 사진,,
점원,고객님 이건 고데기예요,16336486,E,생활서비스,미용실,0,4,참고 사진 제시하며 스타일 요청,,A,,,,,고객님 이건 고데기예요,"고객님, 고데기",,"고객님/대상, 고데기/도구"
고객,그럼 최대한 비슷하게 가능한가요?,16336486,E,생활서비스,미용실,1,5,펌 문의,,Q,,그럼 최대한 비슷하게 가능한가요?,,,,,,
점원,열펌으로 하시면 비슷할 것 같네요,16336486,E,생활서비스,미용실,0,6,펌 문의,,A,,,,,열펌으로 하시면 비슷할 것 같네요,열펌,,열펌/시술
고객,그럼 그렇게 해주세요,16336486,E,생활서비스,미용실,1,7,펌 요청,,Q,,그럼 그렇게 해주세요,,,,,,
점원,고객님 머리길이가 길어서 추가비용 발생합니다,16336486,E,생활서비스,미용실,0,8,펌 요청,,A,,,,,고객님 머리 길이가 길어서 추가 비용 발생합니다,"고객님, 머리 길이, 추가 비용",,고객님/대상
고객,그럼 가격이 얼마인가요?,16336486,E,생활서비스,미용실,1,9,가격 문의,,Q,,그럼 가격이 얼마인가요?,,,,가격,,
점원,추가비용 포함 12만원입니다,16336486,E,생활서비스,미용실,0,10,가격 문의,,A,,,,,추가 비용 포함 12만 원입니다,"추가 비용 포함, 12만 원",,12만 원/금액
고객,예약 안하고 왔는데요 바로 머리 자를 수 있을까요?,16322161,E,생활서비스,미용실,1,1,대기시간 문의,,Q,,예약 안 하고 왔는데요 바로 머리 자를 수 있을까요?,,,,"예약, 머리",,머리/부위
점원,현재 20분정도 대기 예상됩니다.  찾으시는 디자이너분 있으세요?,16322161,E,생활서비스,미용실,0,2,선생님 요청,선생님 요청 문의,Q,,,현재 20분 정도 대기 예상됩니다. 찾으시는 디자이너 분 있으세요?,,,"현재, 20분, 정도, 대기 ",,20분/시간
고객,아니요 없어요. 커트 가격이 어떻게 되나요?,16322161,E,생활서비스,미용실,1,3,커트 가격 문의,,Q,,아니요 없어요. 커트 가격이 어떻게 되나요?,,,,"커트, 가격",,커트/시술
점원,"네 18,000원 입니다. ",16322161,E,생활서비스,미용실,0,4,커트 가격 문의,,A,,,,,"네 18,000원입니다.","18,000원",,"18,000원/금액"
고객,염색 가격은 어떻게 되나요?,16322161,E,생활서비스,미용실,1,5,염색 가격 문의,,Q,,염색 가격은 어떻게 되나요?,,,,"염색, 가격",,염색/시술
점원,네 기본 5만원부터 시작되서 기장 추가 하실경우 추가금액 발생합니다.,16322161,E,생활서비스,미용실,0,6,염색 가격 문의,,A,,,,,네 기본 5만 원부터 시작돼서 기장 추가하실 경우 추가 금액 발생합니다.,"기본 5만 원, 기장 추가, 추가 금액",,기본 5만 원/금액
고객,내일 몇시부터 영업 시작하나요?,16322161,E,생활서비스,미용실,1,7,오픈시간 문의,,Q,,내일 몇 시부터 영업 시작하나요?,,,,"내일, 몇 시, 영업 시작",,내일/날짜
점원,오전 10시부터 시작합니다. ,16322161,E,생활서비스,미용실,0,8,오픈시간 문의,,A,,,,,오전 10시부터 시작합니다. ,"오전 10시, 시작",,오전 10시/시작시간
고객,결제할게요. 가격이 어떻게 되나요?,16322161,E,생활서비스,미용실,1,9,커트 가격 문의,,Q,,결제할게요. 가격이 어떻게 되나요?,,,,"결제, 가격",,
점원,"18,000원 입니다. ",16322161,E,생활서비스,미용실,0,10,커트 가격 문의,,A,,,,,"18,000원입니다.","18,000원",,"18,000원/금액"
고객,어떤 종류의 펌이 가장 많이 하나요?,16321916,E,생활서비스,미용실,1,1,추천 펌 문의,,Q,,어떤 종류의 펌이 가장 많이 하나요?,,,,"어떤 종류, 펌",,펌/시술
점원,러블리 펌을 많이 하는 추세입니다.,16321916,E,생활서비스,미용실,0,2,추천 펌 문의,,A,,,,,러블리 파마를 많이 하는 추세입니다.,러블리 파마,,러블리 파마/시술
고객,러블리 펌 가격은 어떻게 되나요?,16321916,E,생활서비스,미용실,1,3,펌 가격 문의,,Q,,러블리 파마 가격은 어떻게 되나요?,,,,"러블리 파마, 가격",,러블리 파마/시술
점원,"50,000원입니다.",16321916,E,생활서비스,미용실,0,4,펌 가격 문의,,A,,,,,"50,000원입니다.","50,000원",,"50,000원/금액"
고객,기장 추가되나요?,16321916,E,생활서비스,미용실,1,5,기장 추가 가격 문의,,Q,,기장 추가되나요?,,,,기장 추가,,
점원,"네, 추가 비용 발생 됩니다.",16321916,E,생활서비스,미용실,0,6,기장 추가 가격 문의,,A,,,,,"네, 추가 비용 발생됩니다.",추가 비용,,
고객,오늘 예약은 언제 가능한가요?,16321916,E,생활서비스,미용실,1,7,원하는 시간에 예약이 가능 문의,,Q,,오늘 예약은 언제 가능한가요?,,,,"오늘, 예약, 언제",,오늘/날짜
점원,오늘 예약은 전부 마감되었습니다.,16321916,E,생활서비스,미용실,0,8,원하는 시간에 예약이 가능 문의,,A,,,,,오늘 예약은 전부 마감되었습니다.,"오늘 예약, 전부 마감",,오늘/날짜
고객,내일은 몇시 오픈인가요?,16321916,E,생활서비스,미용실,1,9,오픈시간 문의,,Q,,내일은 몇 시 오픈인가요?,,,,"내일, 몇 시, 오픈",,내일/날짜
점원,오전 10시 오픈입니다.,16321916,E,생활서비스,미용실,0,10,오픈시간 문의,,A,,,,,오전 10시 오픈입니다.,"오전 10시, 오픈",,오전 10시/오픈시간
고객,오늘 나원장님 나오셨어요?,16336260,E,생활서비스,미용실,1,1,선생님별 스케줄 문의,,Q,,오늘 나 원장님 나오셨어요?,,,,"오늘, 나 원장님",,"오늘/날짜, 나 원장님/미용사"
점원,아니요 오늘 나원장님 쉬시는 날이세요,16336260,E,생활서비스,미용실,0,2,선생님별 스케줄 문의,,A,,,,,아니요 오늘 나 원장님 쉬시는 날이세요,"오늘, 나 원장님, 쉬시는 날",,"오늘/날짜, 나 원장님/미용사"
고객,아 그러면 김실장님은 있으세요?,16336260,E,생활서비스,미용실,1,3,선생님별 스케줄 문의,,Q,,아 그러면 김 실장님은 있으세요?,,,,김 실장님,,김 실장님/미용사
점원,김실장님은 오늘 근무하세요,16336260,E,생활서비스,미용실,0,4,선생님별 스케줄 문의,,A,,,,,김 실장님은 오늘 근무하세요,"김 실장님, 오늘, 근무",,"김 실장님/미용사, 오늘/날짜"
고객,그럼 김실장님한테 오늘 펌 예약 가능한가요?,16336260,E,생활서비스,미용실,1,5,예약시간 문의,,Q,,그럼 김 실장님한테 오늘 펌 예약 가능한가요?,,,,"김 실장님, 오늘, 펌 예약, 가능",,"김 실장님/미용사, 오늘/날짜, 펌/시술"
점원,네 몇시로 해드릴까요?,16336260,E,생활서비스,미용실,0,6,예약시간 문의,예약시간,Q,,,네 몇 시로 해드릴까요?,,,몇 시,,
고객,3시로 해주세요,16336260,E,생활서비스,미용실,1,7,예약시간 문의,예약시간,A,,,,3시로 해주세요,,3시,,3시/시간
점원,3시 말고 5시는 어떠세요?,16336260,E,생활서비스,미용실,0,8,예약시간 문의,예약시간,Q,,,3시 말고 5시는 어떠세요?,,,"3시, 5시",,"3시/시간, 5시/시간"
고객,아 그럼 5시로 해주세요,16336260,E,생활서비스,미용실,1,9,예약시간 문의,예약시간,A,,,,아 그럼 5시로 해주세요,,5시,,5시/시간
점원,네 5시로 해드릴게요,16336260,E,생활서비스,미용실,0,10,예약시간 문의,,A,6,,,,네 5시로 해드릴게요,5시,,5시/시간
고객,컷트 얼마쯤해요?,16334222,E,생활서비스,미용실,1,1,커트 가격 문의,,Q,,커트 얼마쯤 해요?,,,,"커트, 얼마쯤",,커트/시술
점원,저희 만원받아요,16334222,E,생활서비스,미용실,0,2,커트 가격 문의,,A,,,,,저희 만 원 받아요,만 원,,만 원/금액
고객,전체적으로 조금씩만 잘라주세요,16334222,E,생활서비스,미용실,1,3,커트 요청,,Q,,전체적으로 조금씩만 잘라주세요,,,,"전체적, 조금씩",,
점원,점퍼벗으시고 이쪽으로 앉으세요,16334222,E,생활서비스,미용실,0,4,커트 요청,,A,,,,,점퍼 벗으시고 이쪽으로 앉으세요,점퍼,,점퍼/의류
고객,여기 펌은 얼마에요?,16334222,E,생활서비스,미용실,1,5,펌 가격 문의,,Q,,여기 펌은 얼마에요?,,,,"여기, 펌",,펌/시술
점원,보통 4만원쯤 해요,16334222,E,생활서비스,미용실,0,6,펌 가격 문의,,A,,,,,보통 4만 원쯤 해요,"보통, 4만 원",,4만 원/금액
고객,다운펌 몇시간정도 걸려요?,16334222,E,생활서비스,미용실,1,7,소요시간 문의,,Q,,다운펌 몇 시간 정도 걸려요?,,,,"다운펌, 몇 시간 정도",,다운펌/시술
점원,한시간 조금 넘게걸리죠,16334222,E,생활서비스,미용실,0,8,소요시간 문의,,A,,,,,한 시간 조금 넘게 걸리죠,"한 시간, 조금",,한 시간/시간
고객,다음에 와서 해야겠네요,16334222,E,생활서비스,미용실,1,9,,,Q,,다음에 와서 해야겠네요,,,,,,
점원,커트시작할게요,16334222,E,생활서비스,미용실,0,10,,커트,Q,,,커트 시작할게요,,,커트,,커트/시술
고객,이 색깔 하고싶어요 ,16335250,E,생활서비스,미용실,1,1,염색 문의,,Q,,이 색깔 하고 싶어요,,,,이 색깔,,
점원,음 이색은 탈색이  들어가야 되는 머린데 괜찮으시겠어요? ,16335250,E,생활서비스,미용실,0,2,탈색 문의,탈색 여부,Q,,,음 이 색은 탈색이  들어가야 되는 머린데 괜찮으시겠어요? ,,,"이 색, 탈색",,탈색/시술
고객,탈색 안하고는 안되나요? ,16335250,E,생활서비스,미용실,1,3,염색 전 탈색 문의,,Q,,탈색 안 하고는 안 되나요?,,,,탈색,,탈색/시술
점원,네 탈색 안하면 이색이 안나와요,16335250,E,생활서비스,미용실,0,4,염색 전 탈색 문의,,A,,,,,네 탈색 안 하면 이 색이 안 나와요,"탈색, 이 색",,탈색/시술
고객,몇번이나 해야되는데요?,16335250,E,생활서비스,미용실,1,5,탈색 횟수 문의,,Q,,몇 번이나 해야 되는데요?,,,,몇 번,,
점원,원래 3번은 해야되는데 최대한 해서 2번에 빼볼게요,16335250,E,생활서비스,미용실,0,6,탈색 횟수 문의,,A,,,,,원래 3번은 해야 되는데 최대한 해서 2번에 빼볼게요,"3번, 최대한, 2번",,"3번/횟수, 2번/횟수"
고객,그럼 탈색 2번에 염색 1번이에요? ,16335250,E,생활서비스,미용실,1,7,탈색 횟수 문의,,Q,,그럼 탈색 2번에 염색 1번이에요? ,,,,"탈색, 2번, 염색, 1번",,"탈색/시술, 2번/횟수, 염색/시술, 1번/횟수"
점원,네 그렇게 들어갈 거에요,16335250,E,생활서비스,미용실,0,8,탈색 횟수 문의,,A,,,,,네 그렇게 들어갈 거예요,,,
고객,얼만데요? ,16335250,E,생활서비스,미용실,1,9,가격 문의,,Q,,얼만데요? ,,,,,,
점원,기장 추가해서 총 45만원 나와요 ,16335250,E,생활서비스,미용실,0,10,가격 문의,,A,,,,,기장 추가해서 총 45만 원 나와요,"기장 추가, 45만 원",,45만 원/금액
고객,지금 컷트 될까요?,16335259,E,생활서비스,미용실,1,1,커트 문의,,Q,,지금 커트 될까요?,,,,"지금, 커트",,"지금/시간, 커트/시술"
